t1,t2,precision_redundant,recall_redundant,f1_redundant,precision_missed,recall_missed,f1_missed,tp_redundant,fp_redundant,fn_redundant,tn_redundant,tp_missed,fp_missed,fn_missed,tn_missed,n_turns_scored
0.4000,0.3500,1.0000,0.5000,0.6667,1.0000,1.0000,1.0000,1,0,1,3,1,0,0,4,5
0.4000,0.4000,1.0000,0.5000,0.6667,1.0000,1.0000,1.0000,1,0,1,3,1,0,0,4,5
0.4000,0.4500,1.0000,0.5000,0.6667,1.0000,1.0000,1.0000,1,0,1,3,1,0,0,4,5
0.4000,0.5000,1.0000,0.5000,0.6667,1.0000,1.0000,1.0000,1,0,1,3,1,0,0,4,5
0.4000,0.5500,1.0000,0.5000,0.6667,1.0000,1.0000,1.0000,1,0,1,3,1,0,0,4,5
0.4500,0.3500,1.0000,0.5000,0.6667,1.0000,1.0000,1.0000,1,0,1,3,1,0,0,4,5
0.4500,0.4000,1.0000,0.5000,0.6667,1.0000,1.0000,1.0000,1,0,1,3,1,0,0,4,5
0.4500,0.4500,1.0000,0.5000,0.6667,1.0000,1.0000,1.0000,1,0,1,3,1,0,0,4,5
0.4500,0.5000,1.0000,0.5000,0.6667,1.0000,1.0000,1.0000,1,0,1,3,1,0,0,4,5
0.4500,0.5500,1.0000,0.5000,0.6667,1.0000,1.0000,1.0000,1,0,1,3,1,0,0,4,5
0.5000,0.3500,1.0000,0.5000,0.6667,1.0000,1.0000,1.0000,1,0,1,3,1,0,0,4,5
0.5000,0.4000,1.0000,0.5000,0.6667,1.0000,1.0000,1.0000,1,0,1,3,1,0,0,4,5
0.5000,0.4500,1.0000,0.5000,0.6667,1.0000,1.0000,1.0000,1,0,1,3,1,0,0,4,5
0.5000,0.5000,1.0000,0.5000,0.6667,1.0000,1.0000,1.0000,1,0,1,3,1,0,0,4,5
0.5000,0.5500,1.0000,0.5000,0.6667,1.0000,1.0000,1.0000,1,0,1,3,1,0,0,4,5
0.5500,0.3500,1.0000,0.5000,0.6667,1.0000,1.0000,1.0000,1,0,1,3,1,0,0,4,5
0.5500,0.4000,1.0000,0.5000,0.6667,1.0000,1.0000,1.0000,1,0,1,3,1,0,0,4,5
0.5500,0.4500,1.0000,0.5000,0.6667,1.0000,1.0000,1.0000,1,0,1,3,1,0,0,4,5
0.5500,0.5000,1.0000,0.5000,0.6667,1.0000,1.0000,1.0000,1,0,1,3,1,0,0,4,5
0.5500,0.5500,1.0000,0.5000,0.6667,1.0000,1.0000,1.0000,1,0,1,3,1,0,0,4,5
0.6000,0.3500,1.0000,0.5000,0.6667,1.0000,1.0000,1.0000,1,0,1,3,1,0,0,4,5
0.6000,0.4000,1.0000,0.5000,0.6667,1.0000,1.0000,1.0000,1,0,1,3,1,0,0,4,5
0.6000,0.4500,1.0000,0.5000,0.6667,1.0000,1.0000,1.0000,1,0,1,3,1,0,0,4,5
0.6000,0.5000,1.0000,0.5000,0.6667,1.0000,1.0000,1.0000,1,0,1,3,1,0,0,4,5
0.6000,0.5500,1.0000,0.5000,0.6667,1.0000,1.0000,1.0000,1,0,1,3,1,0,0,4,5
0.6500,0.3500,1.0000,0.5000,0.6667,1.0000,1.0000,1.0000,1,0,1,3,1,0,0,4,5
0.6500,0.4000,1.0000,0.5000,0.6667,1.0000,1.0000,1.0000,1,0,1,3,1,0,0,4,5
0.6500,0.4500,1.0000,0.5000,0.6667,1.0000,1.0000,1.0000,1,0,1,3,1,0,0,4,5
0.6500,0.5000,1.0000,0.5000,0.6667,1.0000,1.0000,1.0000,1,0,1,3,1,0,0,4,5
0.6500,0.5500,1.0000,0.5000,0.6667,1.0000,1.0000,1.0000,1,0,1,3,1,0,0,4,5
0.7000,0.3500,1.0000,0.5000,0.6667,1.0000,1.0000,1.0000,1,0,1,3,1,0,0,4,5
0.7000,0.4000,1.0000,0.5000,0.6667,1.0000,1.0000,1.0000,1,0,1,3,1,0,0,4,5
0.7000,0.4500,1.0000,0.5000,0.6667,1.0000,1.0000,1.0000,1,0,1,3,1,0,0,4,5
0.7000,0.5000,1.0000,0.5000,0.6667,1.0000,1.0000,1.0000,1,0,1,3,1,0,0,4,5
0.7000,0.5500,1.0000,0.5000,0.6667,1.0000,1.0000,1.0000,1,0,1,3,1,0,0,4,5
